natural_language_query,sql_query
Get customer id and count of records from orders grouped by customer id having count greater than 8,"SELECT customer_id, COUNT(*) FROM orders GROUP BY customer_id HAVING COUNT(*) > 8;"
"Add a new record to the orders with values 23, 4150, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (23, 4150, '2022-04-25');"
Change order date to 2022-02-14 in orders where order date is 2022-03-20,UPDATE orders SET order_date = ''2022-02-14'' WHERE order_date = '2022-03-20';
List all orders where total amount is greater than 3900,SELECT * FROM orders WHERE total_amount > 3900;
List all employees where name is greater than Bob Lee,SELECT * FROM employees WHERE name > 'Bob Lee';
Change order date to 2022-03-20 in orders where id is 1,UPDATE orders SET order_date = '2022-03-20' WHERE id = '1';
"Add a new record to the orders with values 9, 100, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (9, 100, '2022-03-20');"
List all order items where product id is greater than 19,SELECT * FROM order_items WHERE product_id > 19;
"Add a new record to the customers with values Helen Martin, grace.lee@example.com, 2021-11-05","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'grace.lee@example.com', '2021-11-05');"
Change total amount to 4800 in orders where customer id is 33,UPDATE orders SET total_amount = '4800' WHERE customer_id = '33';
"Add a new record to the products with values Monitor, 1000, 210","INSERT INTO products (name, price, stock) VALUES ('Monitor', 1000, 210);"
List all order items where product id is greater than 4,SELECT * FROM order_items WHERE product_id > 4;
"Add a new record to the products with values Smartphone, 900, 410","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 900, 410);"
List all order items where product id is greater than 2,SELECT * FROM order_items WHERE product_id > 2;
"Add a new record to the customers with values Helen Martin, frank.harris@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'frank.harris@example.com', '2020-07-23');"
Change name to Desk Chair in products where name is Desk Chair,UPDATE products SET name = 'Desk' Chair WHERE name = 'Desk' Chair;
"Add a new record to the products with values Laptop, 1600, 310","INSERT INTO products (name, price, stock) VALUES ('Laptop', 1600, 310);"
Remove records from employees where age is less than 29,DELETE FROM employees WHERE age < 29;
List all employees sorted by name,SELECT * FROM employees ORDER BY name;
Get order date and count of records from orders grouped by order date having count greater than 2,"SELECT order_date, COUNT(*) FROM orders GROUP BY order_date HAVING COUNT(*) > 2;"
Get salary and count of records from employees grouped by salary having count greater than 3,"SELECT salary, COUNT(*) FROM employees GROUP BY salary HAVING COUNT(*) > 3;"
Remove records from orders where total amount is less than 1200,DELETE FROM orders WHERE total_amount < 1200;
Get name and count of records from employees grouped by name having count greater than 9,"SELECT name, COUNT(*) FROM employees GROUP BY name HAVING COUNT(*) > 9;"
"Add a new record to the employees with values Carol King, 50, Sales, 65000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 50, 'Sales', 65000);"
Get department and count of records from employees grouped by department having count greater than 8,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 8;"
